Date,Price,Open,High,Low,Vol.,Change %
2020-07-07 00:00:00,210.53,213,214.23,210.51,44.73M,-0.019
2020-07-06 00:00:00,214.61,212.97,216.79,212.94,55.46M,0.0174
2020-07-03 00:00:00,210.95,210,211.97,209,50.64M,0.0064
2020-07-02 00:00:00,209.6,205,210.15,204.28,76.38M,0.0314
2020-06-30 00:00:00,203.22,205.7,206,202.36,43.75M,-0.0125
2020-06-29 00:00:00,205.8,201,205.86,200.97,43.08M,0.013
2020-06-26 00:00:00,203.15,206.97,207.5,201.76,46.69M,-0.0182
2020-06-25 00:00:00,206.92,201,207,200.75,71.50M,-0.0018
2020-06-23 00:00:00,207.3,207.7,209.74,206.43,53.49M,0.0044
2020-06-22 00:00:00,206.4,206.7,207.95,204.28,58.66M,-0.0029
2020-06-19 00:00:00,207,205.44,209.2,204.55,75.05M,0.0159
2020-06-18 00:00:00,203.77,207.8,208.1,202.72,72.28M,-0.021
2020-06-17 00:00:00,208.14,208.52,210.35,206.94,56.58M,0.0018
2020-06-16 00:00:00,207.76,210.28,212.19,207.52,66.56M,0.0021
2020-06-15 00:00:00,207.32,205.07,207.85,202.3,76.00M,-0.0049
2020-06-11 00:00:00,208.35,208.91,209.24,206.01,70.03M,-0.0197
2020-06-10 00:00:00,212.53,217,217.58,211.82,91.90M,-0.0216
2020-06-09 00:00:00,217.23,221.13,221.88,215.44,69.17M,-0.0139
2020-06-08 00:00:00,220.3,219.8,223.15,217.45,88.83M,0.0055
2020-06-05 00:00:00,219.1,215.13,219.93,213.6,88.66M,0.0282
2020-06-04 00:00:00,213.1,220.67,221,212.55,122.49M,-0.0379
2020-06-03 00:00:00,221.5,214,221.92,213.51,145.04M,0.0448
2020-06-02 00:00:00,212,204.67,212,204,116.87M,0.041
2020-06-01 00:00:00,203.66,203.1,205.93,201.81,65.65M,0.0158
2020-05-29 00:00:00,200.5,204.11,204.4,199.17,106.65M,-0.022
2020-05-28 00:00:00,205,199.31,205,198.4,117.18M,0.0327
2020-05-27 00:00:00,198.51,194,198.97,193.32,116.07M,0.0232
2020-05-26 00:00:00,194,193,196.1,192.11,79.31M,0.0157
2020-05-25 00:00:00,191,189.62,191.31,188.8,23.14M,0.0111
2020-05-22 00:00:00,188.9,190.97,191.25,188.6,57.01M,-0.0182
2020-05-21 00:00:00,192.4,194,196.31,191.5,79.54M,-0.0081
2020-05-20 00:00:00,193.98,188.49,193.98,186.6,93.34M,0.0263
2020-05-19 00:00:00,189,190.37,192.55,186.8,105.32M,0.0004
2020-05-18 00:00:00,188.93,186.33,190,185.4,77.55M,0.0276
2020-05-15 00:00:00,183.85,186.13,186.78,183.33,63.15M,0.0002
2020-05-14 00:00:00,183.81,186.5,188.2,183.5,76.68M,-0.0187
2020-05-13 00:00:00,187.31,190.05,190.6,186.66,63.47M,-0.0214
2020-05-12 00:00:00,191.4,193.3,198,191.2,67.66M,-0.0236
2020-05-08 00:00:00,196.02,196,196.25,194.6,33.84M,0.0026
2020-05-07 00:00:00,195.51,196,198.15,195.06,57.73M,-0.001
2020-05-06 00:00:00,195.7,195,197.23,194.3,49.56M,0.0049
2020-05-05 00:00:00,194.75,195.51,196.46,194,35.44M,0.0055
2020-05-04 00:00:00,193.69,195.68,195.68,193.26,56.40M,-0.018
2020-04-30 00:00:00,197.25,196.51,199.7,195.46,87.20M,0.0074
2020-04-29 00:00:00,195.8,194.46,195.8,192.86,69.84M,0.0156
2020-04-28 00:00:00,192.8,188.5,194.22,188.17,78.58M,0.0206
2020-04-27 00:00:00,188.9,189.98,190.5,188.43,43.71M,-0.0001
2020-04-24 00:00:00,188.91,189.73,191.65,187.7,55.31M,-0.0106
2020-04-23 00:00:00,190.94,191.99,192.5,188.68,62.76M,0.0039
2020-04-22 00:00:00,190.2,185.01,191.94,184.5,75.36M,0.0223
2020-04-21 00:00:00,186.05,185.54,187.5,183.65,94.31M,-0.0173
2020-04-20 00:00:00,189.32,190.6,192.23,187.31,62.24M,-0.0129
2020-04-17 00:00:00,191.8,192.5,192.7,188.28,71.73M,0.0175
2020-04-16 00:00:00,188.5,187.22,191.67,183.53,109.17M,0.0131
2020-04-15 00:00:00,186.07,196,196.25,186.06,98.16M,-0.0573
2020-04-14 00:00:00,197.37,199.99,202.85,196.1,80.22M,-0.0045
2020-04-13 00:00:00,198.26,202,202.16,197.32,41.28M,-0.0185
2020-04-10 00:00:00,201.99,201.85,202.75,200.7,28.76M,-0.008
2020-04-09 00:00:00,203.61,202.4,205.44,199.3,109.98M,0.0166
2020-04-08 00:00:00,200.29,196.02,200.29,195.12,89.98M,0.0135
2020-04-07 00:00:00,197.63,193.02,200.54,193.02,136.42M,0.0363
2020-04-06 00:00:00,190.7,187.52,192.02,186.42,77.86M,0.0273
2020-04-03 00:00:00,185.64,186.6,187.49,184.28,92.86M,-0.007
2020-04-02 00:00:00,186.95,188.3,189.9,182,125.64M,0.0117
2020-04-01 00:00:00,184.78,183.2,185.47,182,76.83M,-0.013
2020-03-31 00:00:00,187.21,186,188.77,184.25,114.03M,0.023
2020-03-30 00:00:00,183,177,183.2,174.9,94.33M,0.0145
2020-03-27 00:00:00,180.38,188.05,188.97,180.17,114.28M,-0.0409
2020-03-26 00:00:00,188.07,187.69,191.2,182.8,111.60M,-0.0001
2020-03-25 00:00:00,188.08,196.38,201,182.32,187.98M,-0.0237
2020-03-24 00:00:00,192.64,193.3,195,189.1,104.88M,0.0506
2020-03-23 00:00:00,183.37,188,190.99,182.1,157.89M,-0.063
2020-03-20 00:00:00,195.69,198.62,201.86,192.05,170.58M,0.0326
2020-03-19 00:00:00,189.51,178.5,190.15,173.06,187.43M,0.0875
2020-03-18 00:00:00,174.27,179,182.2,172.15,155.01M,-0.0529
2020-03-17 00:00:00,184.01,195,204.78,183.8,184.15M,-0.0605
2020-03-16 00:00:00,195.85,194,196.7,186,174.27M,-0.0138
2020-03-13 00:00:00,198.6,175,199.52,174.3,263.04M,0.129
2020-03-12 00:00:00,175.91,185.15,187.87,173.14,197.97M,-0.0957
2020-03-11 00:00:00,194.53,202,204.33,192.05,138.30M,-0.0332
2020-03-10 00:00:00,201.2,197.99,212.74,184.86,244.54M,-0.0854
2020-03-06 00:00:00,219.99,228,229.2,216.67,104.45M,-0.0531
2020-03-05 00:00:00,232.33,237,238.72,230.64,57.08M,-0.0125
2020-03-04 00:00:00,235.27,234.13,236.7,232.62,54.27M,-0.0057
2020-03-03 00:00:00,236.63,233,239,232.28,83.65M,0.0371
2020-03-02 00:00:00,228.17,238.93,241,218.86,101.99M,-0.0222
2020-02-28 00:00:00,233.36,235,239,231,124.63M,-0.0392
2020-02-27 00:00:00,242.88,247.5,248.98,242,58.24M,-0.0316
2020-02-26 00:00:00,250.8,244.75,251.21,243.22,67.76M,0.0229
2020-02-25 00:00:00,245.19,247.98,249,245.17,41.06M,-0.0224
2020-02-21 00:00:00,250.8,248.35,251.49,247.24,27.76M,0.0026
2020-02-20 00:00:00,250.15,250.03,252.17,249.13,30.72M,0.0018
2020-02-19 00:00:00,249.7,250.37,250.68,247.95,25.80M,0.002
2020-02-18 00:00:00,249.2,250.07,250.44,247.57,36.37M,-0.0086
2020-02-17 00:00:00,251.36,252.5,253.1,250.13,26.43M,-0.0015
2020-02-14 00:00:00,251.75,254.4,254.4,251.4,30.02M,-0.0084
2020-02-13 00:00:00,253.89,253.62,255.18,252.5,36.73M,-0.0024
2020-02-12 00:00:00,254.5,255.4,255.49,252.31,52.52M,0.0
2020-02-11 00:00:00,254.5,253.75,259.77,253,79.45M,0.0089
2020-02-10 00:00:00,252.26,254.55,255.73,252.07,35.22M,-0.008
2020-02-07 00:00:00,254.3,253.1,254.3,248.73,50.23M,0.0087
2020-02-06 00:00:00,252.11,256.5,258,251.86,43.62M,-0.0121
2020-02-05 00:00:00,255.2,255.89,257.66,253.14,50.76M,-0.0008
2020-02-04 00:00:00,255.4,255.3,257.38,252.9,49.79M,0.0056
2020-02-03 00:00:00,253.99,251.8,254.96,251.1,52.73M,0.0071
2020-01-31 00:00:00,252.2,258.5,259.2,252.17,47.92M,-0.0199
2020-01-30 00:00:00,257.31,258,258.69,255.27,31.77M,-0.0101
